"mdbf1","mdbf2","mdbf3","mdbf4","mdbf5","mdbf6","mdbf7","mdbf8","mdbf9","mdbf10","mdbf11","mdbf12","lz","extra","vertr","gewis","neuro","intel","pro","grund","fach","ziel","lerntyp","geschl","job","ort","ort12","wohnen","uni1","uni2","uni3","uni4"
4,4,5,5,4,4,3,3,3,3,3,3,2,3,3,3,1.5,2.75,2.4,"",1,2,2,1,2,1,1,2,0,1,0,0
3,1,4,5,3,3,2,5,2,1,5,1,3,2.25,3.25,3.5,3.25,4.25,2,"",1,2,2,1,2,1,1,1,0,1,0,0
4,2,2,5,3,4,2,3,3,4,5,5,4.4,3.5,2.75,2.25,2.25,2.25,2.1,"",4,2,3,3,1,1,2,3,0,0,0,1
3,2,3,4,5,4,1,3,1,5,5,1,2.8,3.25,3,3.75,2.75,3,1.7,"",4,4,1,3,2,1,3,1,0,1,0,0
4,4,5,5,5,5,3,3,1,1,5,3,3.2,2.75,4.25,2.5,3.25,3.25,2.3,"",1,2,2,1,2,2,1,4,0,0,0,1
5,5,5,1,5,1,1,2,2,2,2,4,3.8,3,3.75,3.5,3,3.5,2.5,"",5,2,2,1,2,1,1,4,0,0,0,1
3,1,1,2,5,5,1,3,3,4,3,1,4.4,1.75,3.75,2.75,3,3.25,2.2,"",3,4,3,3,1,1,1,3,1,0,0,0
3,2,2,1,3,4,1,2,3,3,2,2,3.4,3,3.5,2.5,3.5,4.5,2.7,"",1,3,3,1,1,2,1,4,0,0,0,1
2,5,1,3,5,1,2,1,3,5,2,4,3.6,3,2.5,2,2.75,2,2,"",5,1,3,1,1,2,3,4,0,0,1,0
2,3,2,3,1,1,1,5,5,5,4,5,4.6,3.5,4.5,3.5,3.5,2.75,2.5,"",3,3,1,2,1,2,1,2,0,1,0,0
3,2,2,5,2,2,5,3,1,2,4,5,4.4,1.75,3.75,2,1.5,3.75,2.1,"",3,1,2,3,1,2,1,1,0,1,0,0
1,5,4,1,2,1,4,4,4,3,2,1,3.8,3,1.75,2.75,2.75,3.25,2.1,"",1,3,1,2,1,1,2,1,0,1,0,0
1,1,4,5,3,3,5,4,5,5,4,4,6,2.25,3,2.25,3.25,3.5,3.1,"",1,3,2,1,2,1,3,2,0,0,1,0
3,1,4,3,3,2,5,1,4,4,4,2,3.6,2.75,2.25,3.25,3,2.75,3,"",4,1,2,2,1,2,2,4,1,0,0,0
5,5,4,2,5,3,5,2,2,1,5,5,4,2.75,2.25,2.25,2.5,3.75,2.5,"",1,2,1,1,2,1,1,3,0,0,0,1
4,5,2,5,2,2,4,3,1,3,2,5,4,3,3.75,2.5,4,3,2.3,"",3,4,1,2,2,1,3,1,0,0,1,0
2,5,5,2,2,1,2,1,2,3,3,5,3,4,3,4.5,2.25,2.5,2.5,"",5,2,2,1,1,2,1,1,0,0,0,1
3,4,4,2,5,1,2,4,4,3,2,4,4,4.25,1.75,3,3.25,2.5,2.2,"",1,1,2,2,1,1,1,1,0,0,1,0
3,2,4,2,2,1,5,5,3,3,2,4,4.8,2.75,1.75,4.25,2.5,3,3.1,"",5,2,1,3,2,1,2,2,0,0,0,1
4,2,3,1,4,2,4,4,1,1,5,2,4.6,3.75,2,3.5,2,4.5,3.2,"",2,3,1,2,1,1,2,1,0,0,0,1
5,1,3,5,1,1,3,1,1,5,4,1,4.4,3.75,3.75,2.5,2.25,3.25,2.4,"",3,1,1,1,2,1,2,3,0,1,0,0
2,3,1,1,2,3,1,3,4,2,5,4,3.2,3.25,4.25,2.25,3.75,4,2.5,"",4,4,1,2,2,1,3,1,0,1,0,0
3,1,4,4,2,5,3,4,3,3,1,1,3.6,3.75,3,3,3,1.75,2.6,"",5,4,2,1,1,1,2,3,0,0,0,1
5,5,5,1,5,3,5,5,5,2,5,3,3.8,2.75,4.75,2.25,3.75,3,2.6,"",4,1,2,1,2,2,2,3,0,0,1,0
3,3,5,2,1,4,5,1,5,1,4,2,3.6,3.25,3,2.5,2.5,2,2.8,"",4,2,3,2,1,1,2,2,1,0,0,0
1,1,2,2,5,2,4,4,3,5,3,2,3,2.25,2.75,3.5,3.5,3,2.4,"",2,3,3,1,2,2,3,2,1,0,0,0
5,3,1,4,1,1,4,3,3,2,3,2,5,2.25,3.5,2.25,3,4,2.9,"",1,3,1,2,2,2,1,2,1,0,0,0
2,4,2,4,1,3,4,5,4,2,4,3,3.6,2.5,2.5,3,2.5,2.75,2.7,"",5,2,1,1,1,1,1,4,1,0,0,0
2,5,4,4,1,5,1,4,2,1,3,4,4.8,2.25,2.25,1.75,2.75,2.5,2.7,"",4,1,2,3,2,1,1,2,0,1,0,0
3,5,4,3,3,4,4,3,4,2,5,5,5,2.25,2.75,3.25,3.25,3.5,2.7,"",4,4,2,1,2,2,3,2,0,1,0,0
1,3,4,4,5,1,1,2,4,2,1,4,3,2.5,3,2.5,4.25,2.75,2.6,"",4,4,3,3,1,2,1,1,0,0,0,1
5,3,5,2,1,2,2,3,2,3,4,2,3,3.25,3.5,2.75,3.25,2.75,2.3,"",4,1,2,3,1,2,1,4,0,0,0,1
2,1,5,4,3,5,1,2,3,4,1,1,3.6,2.75,2.5,3.5,3.25,2.75,3,"",1,3,1,3,2,1,2,2,0,1,0,0
4,2,4,4,2,5,5,2,3,3,5,2,5,1.5,3,3.25,2,2.5,2.3,"",5,1,1,2,2,1,2,4,0,0,1,0
2,2,5,3,1,4,2,2,3,3,2,5,3,4,3.25,3,2,2.75,2,"",1,1,3,2,1,2,3,2,1,0,0,0
1,5,4,4,1,5,2,1,1,4,1,3,5.2,3.75,3,2.5,4,2.75,2.2,"",1,3,2,3,2,2,2,1,0,0,1,0
1,2,4,2,3,1,5,3,4,3,4,5,4.2,2.5,2.25,2,2.25,3,2.4,"",2,1,1,2,2,2,2,4,0,0,0,1
2,3,3,4,1,3,3,4,2,4,2,5,4.6,3.25,3,2.5,2.25,2,2.6,"",3,4,1,2,2,1,3,2,0,0,1,0
1,1,4,4,1,5,4,2,4,4,2,3,3,3.75,3.5,1.25,2,4,2.8,"",3,1,2,3,1,2,1,3,1,0,0,0
2,2,2,3,1,2,1,4,5,3,3,2,4.6,3.5,3,2.75,3,2.75,2.1,"",4,1,3,3,1,1,1,1,0,0,1,0
3,4,5,5,4,4,4,2,4,5,4,3,2,1.75,2,3.5,2,3.75,2.1,"",1,3,2,2,1,2,3,1,0,0,1,0
5,3,5,2,2,5,1,2,2,4,2,3,3.8,2.25,1.75,2.75,4,3.5,2.2,"",2,3,2,3,1,2,3,1,1,0,0,0
1,3,1,2,5,4,3,3,1,5,3,1,4.6,2.75,2.25,4,1.75,3.25,2.4,"",5,4,1,2,2,1,2,4,0,1,0,0
2,4,5,5,2,1,1,1,1,1,5,2,5,4.75,2.75,3,3.5,3,2.5,"",3,3,3,1,1,1,2,3,0,1,0,0
3,4,3,5,1,5,2,2,4,3,1,3,3.2,3.75,1.75,2.75,2.75,2.5,2.2,"",1,2,1,3,1,2,3,1,0,1,0,0
5,4,3,1,5,3,4,2,1,3,4,2,3.4,3,4.25,2.5,3.75,3.5,2.9,"",2,2,2,3,2,1,3,3,1,0,0,0
1,3,5,3,3,5,4,4,5,1,2,3,2.4,3.5,3.25,3.75,3.25,3.5,2.6,"",3,4,3,2,1,2,3,3,0,1,0,0
4,2,4,5,1,1,3,3,1,4,3,2,4,3.25,3,2.5,4.25,3.75,2.6,"",3,2,1,1,1,1,1,4,0,0,0,1
5,3,5,1,1,1,4,4,5,3,1,3,4.4,3,2.75,3,3.5,2.75,2.9,"",2,1,1,2,1,1,2,2,0,0,1,0
5,2,5,5,2,5,2,1,4,3,1,2,3.2,4.5,3,3,3.25,2.75,2.2,"",2,3,2,2,1,1,2,4,1,0,0,0
3,3,3,1,3,3,1,2,3,1,5,2,4.8,3.25,3.25,2,2.75,3.75,1.7,"",5,1,2,3,2,1,1,3,1,0,0,0
3,5,1,5,1,3,1,3,5,4,3,1,4.4,3.25,2.5,2.5,2,2.75,2.7,"",1,1,2,3,1,1,2,2,0,0,1,0
4,5,5,5,2,1,4,1,5,5,4,3,4.6,3.25,3.5,4,2,3.25,2.2,"",3,1,3,2,1,2,1,2,0,0,0,1
2,2,5,2,4,2,2,1,5,2,3,3,4.6,3.75,2.75,3,3.75,2.75,3.1,"",5,3,3,1,2,2,1,2,0,1,0,0
5,2,2,3,3,2,5,5,2,4,3,4,5.4,2,2.25,3.75,3.75,3.75,2.6,"",3,2,1,1,1,1,1,3,0,0,0,1
5,1,2,2,4,3,3,4,5,1,5,2,4.4,3,4.25,3,3.5,2.75,2.5,"",1,3,1,3,2,2,3,1,1,0,0,0
1,4,3,2,2,2,1,1,5,3,1,4,4,3,2.75,1.75,3.25,3.75,2.3,"",1,3,1,2,1,1,1,4,0,0,0,1
3,5,2,3,1,1,4,1,2,5,4,5,4,3,2.75,4,3.75,3.25,2.9,"",3,4,1,1,1,2,3,1,0,1,0,0
4,2,5,2,1,1,1,2,3,3,2,2,4.6,3,4.25,2,2.75,4,2.9,"",2,2,2,2,1,1,3,2,0,0,0,1
5,3,5,1,4,5,4,5,1,5,5,1,3.8,2.75,3.5,2.75,4.25,3,2.7,"",2,3,1,2,2,1,3,1,0,1,0,0
2,1,2,3,4,3,2,1,5,2,5,3,4.8,4,4,4,2.5,3.25,3,"",5,2,3,1,2,1,2,3,0,0,1,0
5,4,4,1,1,3,1,1,1,4,4,3,4,4,2.75,2.25,4.5,2.75,2.3,"",4,1,2,1,1,1,1,4,0,0,0,1
1,4,1,4,5,1,5,5,3,5,4,1,3.2,3.5,2.25,2,3.75,2,2.1,"",2,1,2,2,1,1,1,4,1,0,0,0
1,2,2,1,3,4,4,1,3,5,2,2,4.4,3.25,2.75,3,3.5,2,2.8,"",4,2,1,2,1,1,3,1,0,1,0,0
5,3,1,2,5,2,3,1,3,4,5,3,5.8,3,3.5,3.75,2.75,1.25,2.3,"",4,1,3,2,1,2,3,4,0,0,1,0
2,1,4,1,2,5,1,2,2,3,2,2,3.6,2.25,3.5,2.75,4,1.25,3,"",3,3,2,1,1,1,3,2,0,0,0,1
2,4,5,5,3,5,2,3,2,2,3,1,5.4,3.25,2.75,3,3.25,3.25,2.6,"",2,2,3,1,2,2,2,4,0,0,0,1
1,4,1,5,2,3,3,2,1,4,2,1,2.2,2.75,2.25,2.5,3,3.25,2.8,"",4,4,2,2,2,1,2,2,1,0,0,0
4,4,1,2,1,3,3,3,2,3,3,5,4,3.25,4.25,3.75,3.5,2.5,3,"",2,3,2,1,2,2,1,2,0,1,0,0
3,5,2,4,4,5,1,2,2,2,2,2,4.2,2.5,3.5,2.5,2.75,3.75,2.5,"",3,4,3,3,1,1,1,4,0,0,0,1
5,3,4,3,2,3,2,4,4,1,1,5,4.2,2,3,2.5,3.75,3,1.9,"",4,4,2,2,1,2,3,1,0,0,1,0
1,3,5,3,3,2,1,3,1,3,4,1,5.6,4.75,2,2.25,2.25,2.25,2.7,"",4,2,1,2,1,1,3,3,0,0,0,1
5,5,2,1,2,3,3,2,5,2,3,5,3.4,3.5,2.5,3.5,3.25,3,2.6,"",5,2,3,3,2,2,2,2,0,0,1,0
4,5,4,2,1,3,1,2,4,4,5,1,5.2,3,3,5,2,2.75,2.7,"",5,2,2,3,2,1,2,3,0,0,0,1
4,5,3,5,3,1,4,2,4,3,1,1,4.4,2.5,3.25,2.5,3.5,2.75,2.2,"",3,1,1,2,2,1,2,2,1,0,0,0
2,3,1,4,1,4,5,1,3,4,3,5,4.2,3.25,2,3,4,3.25,2.6,"",4,1,2,1,1,1,1,1,0,0,1,0
5,4,5,2,5,4,3,2,2,3,5,3,4.6,3.5,2.5,2.5,2.5,3.5,2.1,"",5,4,3,1,2,2,2,3,0,0,1,0
5,2,1,4,1,4,3,3,5,3,5,5,3.2,3.75,3.5,3.5,3.5,4.25,2.3,"",2,3,3,1,1,1,1,2,0,0,0,1
2,4,2,4,1,1,5,4,5,3,3,4,4.4,2.5,3.5,2,1.75,3.5,2.5,"",2,3,1,1,1,1,2,4,1,0,0,0
2,4,5,3,4,2,4,4,3,4,3,2,4.4,2.25,3.5,2.5,3,3.5,2.6,"",2,4,2,3,1,2,1,2,1,0,0,0
5,5,1,3,3,3,5,1,2,4,4,4,3.4,4.5,2.5,2.25,4,4,3.2,"",4,4,1,3,2,1,2,4,1,0,0,0
5,5,5,5,4,5,5,4,4,1,4,5,4,3.5,2.25,3.25,3.5,3,2.5,"",1,4,2,2,1,1,2,2,0,0,1,0
